,state,time,id,cov1,cov2
0,1,0.0,1,0,0
1,1,442368.369705,1,0,0
2,2,601891.1640625,1,0,0
3,1,0.0,2,0,0
4,1,547172.442292,2,0,0
5,2,561547.77734375,2,0,0
6,1,0.0,3,0,0
7,1,368357.553685,3,0,0
8,2,595505.6640625,3,0,0
9,1,0.0,4,0,0
10,1,178134.445612,4,0,0
11,2,513570.0,4,0,0
12,1,0.0,5,0,0
13,1,601321.172071,5,0,0
14,2,601915.9975585938,5,0,0
15,1,0.0,6,0,0
16,1,271331.60997,6,0,0
17,2,558107.77734375,6,0,0
18,1,0.0,7,0,0
19,1,468427.608027,7,0,0
20,2,562529.77734375,7,0,0
21,1,0.0,8,0,0
22,1,368155.246898,8,0,0
23,2,601775.6640625,8,0,0
24,1,0.0,9,0,0
25,1,1536.935297,9,0,0
26,2,5718.666748046875,9,0,0
27,1,0.0,10,0,0
28,1,1586.318188,10,0,0
29,2,6385.5,10,0,0
30,1,0.0,11,0,0
31,1,1746.659475,11,0,0
32,2,6024.75,11,0,0
33,1,0.0,12,0,0
34,1,220440.146317,12,0,0
35,2,519288.6667480469,12,0,0
36,1,0.0,13,0,0
37,1,1933.967551,13,0,0
38,2,6410.33349609375,13,0,0
39,1,0.0,14,0,0
40,1,36269.786816,14,0,0
41,2,46867.77734375,14,0,0
42,1,0.0,15,0,0
43,1,82927.541282,15,0,0
44,2,88321.1640625,15,0,0
45,1,0.0,16,0,0
46,1,2534.739224,16,0,0
47,2,47977.77734375,16,0,0
48,1,0.0,17,0,0
49,1,44193.654087,17,0,0
50,2,81935.6640625,17,0,0
51,1,0.0,18,0,0
52,1,37881.004293,18,0,0
53,2,88345.99755859375,18,0,0
54,1,0.0,19,0,0
55,1,198.491943,19,0,0
56,2,305.0,19,0,0
57,1,0.0,20,0,0
58,1,500.844202,20,0,0
59,2,1159.0,20,0,0
60,1,0.0,21,0,0
61,1,216740.743886,21,0,0
62,2,561852.77734375,21,0,0
63,1,0.0,22,0,0
64,1,366760.694974,22,0,0
65,2,595810.6640625,22,0,0
66,1,0.0,23,0,0
67,1,396917.199057,23,0,0
68,2,513875.0,23,0,0
69,1,0.0,24,0,0
70,1,28494.43979,24,0,0
71,2,50425.77734375,24,0,0
72,1,0.0,25,0,0
73,1,71415.358711,25,0,0
74,2,91879.1640625,25,0,0
75,1,0.0,26,0,0
76,1,43534.125523,26,0,0
77,2,51535.77734375,26,0,0
78,1,0.0,27,0,0
79,1,17486.468292,27,0,0
80,2,85493.6640625,27,0,0
81,1,0.0,28,0,0
82,1,170.616237,28,0,0
83,2,2330.0,28,0,0
84,1,0.0,29,0,0
85,1,482043.828288,29,0,0
86,2,604221.1640625,29,0,0
87,1,0.0,30,0,0
88,1,2302.380307,30,0,0
89,2,3440.0,30,0,0
