,state,time,id,cov1,cov2
0,1,0.0,1,0,0
1,1,362185.757559,1,0,0
2,1,557598.94152,1,0,0
3,2,601891.1640625,1,0,0
4,1,0.0,2,0,0
5,1,256046.946568,2,0,0
6,1,429269.716054,2,0,0
7,2,561547.77734375,2,0,0
8,1,0.0,3,0,0
9,1,348546.778997,3,0,0
10,1,459814.90994,3,0,0
11,2,595505.6640625,3,0,0
12,1,0.0,4,0,0
13,1,176880.32937,4,0,0
14,1,189058.048948,4,0,0
15,2,513570.0,4,0,0
16,1,0.0,5,0,0
17,1,69506.043724,5,0,0
18,1,540210.68022,5,0,0
19,2,601915.9975585938,5,0,0
20,1,0.0,6,0,0
21,1,100420.452147,6,0,0
22,1,541334.681386,6,0,0
23,2,558107.77734375,6,0,0
24,1,0.0,7,0,0
25,1,222700.182329,7,0,0
26,1,354225.481128,7,0,0
27,2,562529.77734375,7,0,0
28,1,0.0,8,0,0
29,1,77557.471903,8,0,0
30,1,519276.682345,8,0,0
31,2,601775.6640625,8,0,0
32,1,0.0,9,0,0
33,1,85.611248,9,0,0
34,1,5075.018749,9,0,0
35,2,5718.666748046875,9,0,0
36,1,0.0,10,0,0
37,1,4661.819146,10,0,0
38,1,6157.267594,10,0,0
39,2,6385.5,10,0,0
40,1,0.0,11,0,0
41,1,3504.810609,11,0,0
42,1,4576.718028,11,0,0
43,2,6024.75,11,0,0
44,1,0.0,12,0,0
45,1,149250.019991,12,0,0
46,1,286679.701611,12,0,0
47,2,519288.6667480469,12,0,0
48,1,0.0,13,0,0
49,1,325.179449,13,0,0
50,1,2867.543722,13,0,0
51,2,6410.33349609375,13,0,0
52,1,0.0,14,0,0
53,1,17458.415412,14,0,0
54,1,29110.24229,14,0,0
55,2,46867.77734375,14,0,0
56,1,0.0,15,0,0
57,1,49698.851105,15,0,0
58,1,67705.336623,15,0,0
59,2,88321.1640625,15,0,0
60,1,0.0,16,0,0
61,1,26380.252006,16,0,0
62,1,38199.200405,16,0,0
63,2,47977.77734375,16,0,0
64,1,0.0,17,0,0
65,1,35380.12254,17,0,0
66,1,67319.361539,17,0,0
67,2,81935.6640625,17,0,0
68,1,0.0,18,0,0
69,1,4733.255313,18,0,0
70,1,13301.621503,18,0,0
71,2,88345.99755859375,18,0,0
72,1,0.0,19,0,0
73,1,142.697825,19,0,0
74,1,263.814269,19,0,0
75,2,305.0,19,0,0
76,1,0.0,20,0,0
77,1,162.493175,20,0,0
78,1,774.752074,20,0,0
79,2,1159.0,20,0,0
80,1,0.0,21,0,0
81,1,13039.867988,21,0,0
82,1,227330.659778,21,0,0
83,2,561852.77734375,21,0,0
84,1,0.0,22,0,0
85,1,296808.794545,22,0,0
86,1,415447.751795,22,0,0
87,2,595810.6640625,22,0,0
88,1,0.0,23,0,0
89,1,188635.088255,23,0,0
90,1,398734.712389,23,0,0
91,2,513875.0,23,0,0
92,1,0.0,24,0,0
93,1,17634.621507,24,0,0
94,1,25616.354386,24,0,0
95,2,50425.77734375,24,0,0
96,1,0.0,25,0,0
97,1,63152.500339,25,0,0
98,1,77351.385136,25,0,0
99,2,91879.1640625,25,0,0
100,1,0.0,26,0,0
101,1,21070.985493,26,0,0
102,1,34329.359329,26,0,0
103,2,51535.77734375,26,0,0
104,1,0.0,27,0,0
105,1,13062.154161,27,0,0
106,1,79188.400428,27,0,0
107,2,85493.6640625,27,0,0
108,1,0.0,28,0,0
109,1,1761.216009,28,0,0
110,1,2260.559045,28,0,0
111,2,2330.0,28,0,0
112,1,0.0,29,0,0
113,1,88139.600308,29,0,0
114,1,466614.603256,29,0,0
115,2,604221.1640625,29,0,0
116,1,0.0,30,0,0
117,1,2200.947254,30,0,0
118,1,2643.934236,30,0,0
119,2,3440.0,30,0,0
