,state,time,id,cov1,cov2
0,1,0.0,1,0,0
1,2,601891.1640625,1,0,0
2,1,0.0,2,0,0
3,2,561547.77734375,2,0,0
4,1,0.0,3,0,0
5,2,595505.6640625,3,0,0
6,1,0.0,4,0,0
7,2,513570.0,4,0,0
8,1,0.0,5,0,0
9,2,601915.9975585938,5,0,0
10,1,0.0,6,0,0
11,2,558107.77734375,6,0,0
12,1,0.0,7,0,0
13,2,562529.77734375,7,0,0
14,1,0.0,8,0,0
15,2,601775.6640625,8,0,0
16,1,0.0,9,0,0
17,2,5718.666748046875,9,0,0
18,1,0.0,10,0,0
19,2,6385.5,10,0,0
20,1,0.0,11,0,0
21,2,6024.75,11,0,0
22,1,0.0,12,0,0
23,2,519288.6667480469,12,0,0
24,1,0.0,13,0,0
25,2,6410.33349609375,13,0,0
26,1,0.0,14,0,0
27,2,46867.77734375,14,0,0
28,1,0.0,15,0,0
29,2,88321.1640625,15,0,0
30,1,0.0,16,0,0
31,2,47977.77734375,16,0,0
32,1,0.0,17,0,0
33,2,81935.6640625,17,0,0
34,1,0.0,18,0,0
35,2,88345.99755859375,18,0,0
36,1,0.0,19,0,0
37,2,305.0,19,0,0
38,1,0.0,20,0,0
39,2,1159.0,20,0,0
40,1,0.0,21,0,0
41,2,561852.77734375,21,0,0
42,1,0.0,22,0,0
43,2,595810.6640625,22,0,0
44,1,0.0,23,0,0
45,2,513875.0,23,0,0
46,1,0.0,24,0,0
47,2,50425.77734375,24,0,0
48,1,0.0,25,0,0
49,2,91879.1640625,25,0,0
50,1,0.0,26,0,0
51,2,51535.77734375,26,0,0
52,1,0.0,27,0,0
53,2,85493.6640625,27,0,0
54,1,0.0,28,0,0
55,2,2330.0,28,0,0
56,1,0.0,29,0,0
57,2,604221.1640625,29,0,0
58,1,0.0,30,0,0
59,2,3440.0,30,0,0
