Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
IDN,2005-01-01,2005-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2005,2005,LCU,44.332200,E
IDN,2006-01-01,2006-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2006,2006,LCU,50.577400,E
IDN,2007-01-01,2007-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2007,2007,LCU,56.271700,E
IDN,2008-01-01,2008-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2008,2008,LCU,66.484900,E
IDN,2009-01-01,2009-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2009,2009,LCU,71.986300,E
IDN,2010-01-01,2010-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2010,2010,LCU,77.930400,E
IDN,2011-01-01,2011-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2011,2011,LCU,83.748600,E
IDN,2012-01-01,2012-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2012,2012,LCU,86.892500,E
IDN,2013-01-01,2013-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2013,2013,LCU,91.207500,E
IDN,2014-01-01,2014-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2014,2014,LCU,96.172100,E
IDN,2015-01-01,2015-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2015,2015,LCU,100.000000,E
IDN,2016-01-01,2016-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2016,2016,LCU,102.438900,E
IDN,2017-01-01,2017-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2017,2017,LCU,106.836300,E
IDN,2018-01-01,2018-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2018,2018,LCU,110.915700,E
IDN,2019-01-01,2019-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2019,2019,LCU,112.689000,E
IDN,2020-01-01,2020-12-31,101,'360,Indonesia,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2020,2020,LCU,112.175000,E
IDN,1970-01-01,1970-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1970,1970,US$,15.831900,E
IDN,1971-01-01,1971-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1971,1971,US$,15.535100,E
IDN,1972-01-01,1972-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1972,1972,US$,16.664200,E
IDN,1973-01-01,1973-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1973,1973,US$,22.152000,E
IDN,1974-01-01,1974-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1974,1974,US$,32.632200,E
IDN,1975-01-01,1975-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1975,1975,US$,36.701300,E
IDN,1976-01-01,1976-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1976,1976,US$,42.008900,E
IDN,1977-01-01,1977-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1977,1977,US$,47.472800,E
IDN,1978-01-01,1978-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1978,1978,US$,49.445100,E
IDN,1979-01-01,1979-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1979,1979,US$,46.485300,E
IDN,1980-01-01,1980-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1980,1980,US$,59.659400,E
IDN,1981-01-01,1981-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1981,1981,US$,70.165200,E
IDN,1982-01-01,1982-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1982,1982,US$,70.454600,E
IDN,1983-01-01,1983-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1983,1983,US$,58.538900,E
IDN,1984-01-01,1984-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1984,1984,US$,56.159900,E
IDN,1985-01-01,1985-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1985,1985,US$,54.639400,E
IDN,1986-01-01,1986-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1986,1986,US$,47.306700,E
IDN,1987-01-01,1987-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1987,1987,US$,42.759500,E
