Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
IDN,2001,PA.NUS.PPP,1549.93090245861
IDN,2000,PA.NUS.PPP,1386.62250044581
IDN,1999,PA.NUS.PPP,1177.30762546835
IDN,1998,PA.NUS.PPP,1045.8007380369
IDN,1997,PA.NUS.PPP,603.391635343089
IDN,1996,PA.NUS.PPP,545.251137408532
IDN,1995,PA.NUS.PPP,510.905725432482
IDN,1994,PA.NUS.PPP,474.708047788557
IDN,1993,PA.NUS.PPP,449.861285609342
IDN,1992,PA.NUS.PPP,386.499841225225
IDN,1991,PA.NUS.PPP,368.45189686004
IDN,1990,PA.NUS.PPP,349.763060197256
